Date;VALUE;CAPITALIZATION;IMOEX, monthly average
2000-01-01;0.0;;
2000-02-01;0.0;;
2000-03-01;0.0;;
2000-04-01;0.0;;
2000-05-01;0.0;;
2000-06-01;0.0;;
2000-07-01;0.0;;
2000-08-01;0.0;;
2000-09-01;0.0;;
2000-10-01;0.0;;
2000-11-01;0.0;;
2000-12-01;0.0;;
2001-01-01;0.0;;
2001-02-01;0.0;;
2001-03-01;0.0;;
2001-04-01;0.0;;
2001-05-01;0.0;;
2001-06-01;0.0;;
2001-07-01;0.0;;
2001-08-01;0.0;;
2001-09-01;0.0;;
2001-10-01;0.0;;
2001-11-01;0.0;;
2001-12-01;0.0;;
2002-01-01;0.0;;
2002-02-01;0.0;;
2002-03-01;0.0;;
2002-04-01;0.0;;
2002-05-01;0.0;;
2002-06-01;0.0;;
2002-07-01;0.0;;
2002-08-01;0.0;;
2002-09-01;0.0;;
2002-10-01;0.0;;
2002-11-01;5655390781.26;;319.97775
2002-12-01;63180425885.83;;312.40046190476187
2003-01-01;71848169295.32;;314.04407000000003
2003-02-01;73728188778.1;;326.2060868421052
2003-03-01;92139915067.82999;;341.61763499999995
2003-04-01;153525025263.7;;349.8507727272728
2003-05-01;196912891565.41;;398.7836026315789
2003-06-01;166039399649.92;;439.3437500000001
2003-07-01;181169763024.59998;;433.65217391304344
2003-08-01;142575025085.9;;454.7480952380953
2003-09-01;174779477779.31998;;500.11522727272734
2003-10-01;252801537841.65002;;539.0578260869565
2003-11-01;144162541803.44003;;474.76236842105266
2003-12-01;146461971631.40997;;504.56499999999994
2004-01-01;174827608927.69;;544.9365789473684
2004-02-01;190619768599.14;;564.2568421052631
2004-03-01;224149296964.97;;608.3854545454546
2004-04-01;260579480254.63;;636.2356818181818
2004-05-01;173594953424.7;;557.5994444444444
2004-06-01;215208790070.83002;;536.7261904761904
2004-07-01;168679583573.25;;520.9981818181818
2004-08-01;138175462955.93;;513.1902272727273
2004-09-01;187222957955.8;;577.2238636363635
2004-10-01;238253502518.68002;;645.2609523809524
2004-11-01;175810924820.90002;;615.5635714285713
2004-12-01;172963486750.76996;;531.0909523809523
2005-01-01;92649636969.1;;548.9196666666667
2005-02-01;150595107392.50003;;596.7515789473683
2005-03-01;192542673810.77;;599.7
2005-04-01;187217177019.77;;608.2769047619047
2005-05-01;108937196240.94002;;590.572
2005-06-01;149213357416.31998;;618.1790476190477
2005-07-01;195813963516.99002;;679.9140476190476
2005-08-01;241635274271.96;;735.2934782608697
2005-09-01;381451903839.21;;822.1468181818182
2005-10-01;394245266174.0301;;843.3297619047619
2005-11-01;327894472464.16;;904.9569047619049
2005-12-01;270955360591.63998;;998.1277272727273
2006-01-01;406174018756.55994;;1142.05375
2006-02-01;596491112268.78;;1258.8586842105265
2006-03-01;576314564443.1;;1282.2709090909088
2006-04-01;838548859459.52;;1411.46925
2006-05-01;1170257825457.39;;1392.9290476190477
2006-06-01;1030054801395.3601;;1234.3542857142857
2006-07-01;785721777051.23;;1343.0064285714284
2006-08-01;1054194224425.15;;1444.0406521739128
2006-09-01;848847144792.0402;;1378.8740476190476
2006-10-01;867968327326.39;;1411.7193181818184
2006-11-01;886680922836.78;;1497.216904761905
2006-12-01;908645956529.4299;;1612.177380952381
2007-01-01;1001975026856.5;;1633.0941176470587
2007-02-01;1096161597215.2902;;1695.782894736842
2007-03-01;1449475338721.38;;1629.7730952380953
2007-04-01;1144144581344.83;;1728.655238095238
2007-05-01;950296047623.27;;1626.3957142857141
2007-06-01;1113305884522.96;;1642.05525
2007-07-01;1325832524956.74;;1747.693409090909
2007-08-01;1062511314223.71;;1659.3445652173914
2007-09-01;863006014572.6597;;1685.0285000000003
2007-10-01;1235442501001.8699;;1812.851739130435
2007-11-01;1313631456845.2498;;1846.1319047619047
2007-12-01;1217334861029.25;;1907.0154999999995
2008-01-01;1204370985543.17;;1758.391176470588
2008-02-01;1424899634706.3;;1665.3512500000002
2008-03-01;1078002598644.21;;1624.9542499999998
2008-04-01;1112266957366.5403;;1665.2599999999998
2008-05-01;1416615657685.05;;1848.547
2008-06-01;904093795426.7;;1826.681
2008-07-01;1074983095293.72;;1617.9054347826086
2008-08-01;964170808690.4701;;1396.0383333333334
2008-09-01;819645386224.8099;;1121.975909090909
2008-10-01;476144445303.46;;699.0369565217393
2008-11-01;477770279500.38995;;635.8928947368421
2008-12-01;481354787659.41003;;612.415
2009-01-01;334938523788.36;;607.7878125
2009-02-01;580612258183.0201;;661.5557894736842
2009-03-01;906647593485.2601;;754.9185714285715
2009-04-01;964762904107.0901;;844.7895454545454
2009-05-01;1168589423276.4397;;1025.6265789473684
2009-06-01;1473904342370.2703;;1063.9388095238096
2009-07-01;1277967376874.03;;967.8365217391304
2009-08-01;1294027480769.78;;1084.9704761904761
2009-09-01;1491859638313.6895;;1166.2961363636362
2009-10-01;1675318192135.5;;1298.5863636363638
2009-11-01;1236443466881.0;;1303.23475
2009-12-01;1020107073921.0;;1343.442608695652
2010-01-01;754635689053.0;;1430.5896666666663
2010-02-01;972358494216.0;;1353.4555263157895
2010-03-01;1166046050785.0;;1407.6947727272723
2010-04-01;1083530880901.0;;1478.5836363636363
