;Date;VALUE;CAPITALIZATION;IMOEX, monthly average
0;января 2013;540.237126708;4982.362905743076;1527.7522222222224
1;февраля 2013;578.14791368;4929.344169999592;1516.095
2;марта 2013;594.832287742;4789.159973597003;1467.7205
3;апреля 2013;637.359809203;4539.278796508688;1385.5009090909089
4;мая 2013;589.203642253;4376.683539683182;1400.252380952381
5;июня 2013;559.651072859;5050.706176000628;1318.0047368421056
6;июля 2013;578.442716266;5888.677527017384;1381.6497826086957
7;августа 2013;481.022327296;6168.2921714352615;1383.2895454545455
8;сентября 2013;675.774272131;6623.7460195492895;1446.712380952381
9;октября 2013;739.374494636;7068.227007153562;1503.6236956521739
10;ноября 2013;663.564499189;7020.869705792578;1496.2702499999998
11;декабря 2013;658.820297472;6801.694370988786;1475.0626190476191
12;января 2014;659.189065095;6679.003648121492;1479.5276315789474
13;февраля 2014;640.643617905;6667.969098381893;1475.676
14;марта 2014;1231.987751785;5944.186511060319;1315.62
15;апреля 2014;881.968386126;6039.812769965419;1337.325
16;мая 2014;764.373075077;6295.820003172526;1391.5749999999998
17;июня 2014;663.186721541;6698.584832788732;1482.8523684210527
18;июля 2014;743.925873178;6532.593823333209;1450.3365217391306
19;августа 2014;627.923409169;6331.014476550442;1403.5221428571426
20;сентября 2014;692.459849512;6682.766923792166;1442.705
21;октября 2014;736.479848114;6645.164070484642;1394.928043478261
22;ноября 2014;680.566648392;7218.099251701106;1514.4618421052633
23;декабря 2014;1092.193788048;6910.683457885903;1473.3052272727273
24;января 2015;657.958113334;7341.123140397651;1580.2384210526318
25;февраля 2015;863.540995349;8128.077667523793;1752.8589473684212
26;марта 2015;720.053006059;7731.285511453847;1662.0554761904764
27;апреля 2015;819.421164908;7879.635548765541;1674.836590909091
28;мая 2015;574.351365251;7860.70012927642;1675.8411111111113
29;июня 2015;568.328028049;7742.065015614594;1649.1816666666666
30;июля 2015;633.71883358;7628.329769206887;1625.158043478261
31;августа 2015;658.019892165;7908.937174056323;1684.7788095238095
32;сентября 2015;611.322339144;7893.366159355581;1691.990909090909
33;октября 2015;770.901921962;7935.544328737744;1697.8681818181822
34;ноября 2015;723.488266876;8280.903670113967;1780.08175
35;декабря 2015;645.586222983;8127.076365354887;1744.384772727273
36;января 2016;643.159550453;7973.934956144326;1698.0324999999998
37;февраля 2016;693.912168064;8311.161571732728;1769.993095238095
38;марта 2016;788.735226868;8794.010620072648;1872.4743181818185
39;апреля 2016;882.179528506;8991.283649940286;1908.9090476190472
40;мая 2016;629.811369056;8946.387331626775;1905.3323684210527
41;июня 2016;664.466168247;8814.542182784731;1895.6492857142857
42;июля 2016;600.710535274;8840.761131795873;1917.9488095238094
43;августа 2016;551.413581288;9035.045251247922;1962.2497826086953
44;сентября 2016;594.930677738;9352.005196547469;2004.571590909091
45;октября 2016;478.608589517;9346.995979439378;1976.4214285714288
46;ноября 2016;728.756920209;9630.43768233645;2037.1142857142854
47;декабря 2016;813.899344961;10334.119129957133;2193.630227272727
48;января 2017;685.220118182;10347.65500286388;2206.5249999999996
49;февраля 2017;609.00496626;10086.117029660256;2154.388421052631
50;марта 2017;722.282156394;9590.974228023913;2026.1388636363633
51;апреля 2017;605.157742023;9472.732228363859;1979.2024999999999
52;мая 2017;624.12592868;9442.24982311166;1976.11825
53;июня 2017;689.595190228;8770.250085106365;1862.7604761904763
54;июля 2017;597.858120438;8963.858443123821;1931.3314285714287
55;августа 2017;630.14385572;9105.350583911448;1961.9163043478266
56;сентября 2017;670.255148011;9464.62905557508;2046.0099999999995
57;октября 2017;610.190618582;9558.502845010114;2080.6322727272727
58;ноября 2017;916.1481289033999;9831.424261793123;2138.6628571428573
59;декабря 2017;553.568472207;9623.740012604285;2115.5035714285714
60;января 2018;779.0478649731999;9984.018996006;2257.877
61;февраля 2018;870.3355459543001;10024.953513512106;2273.8365789473683
62;марта 2018;810.1909919182001;9968.71242567;2286.3064285714286
63;апреля 2018;1256.4680042832001;9641.586489294092;2235.566818181818
64;мая 2018;764.2736825449999;9973.605254398572;2314.5157142857142
65;июня 2018;720.8388785975502;9778.536583907142;2268.947380952381
66;июля 2018;734.6371767308;9972.584343251818;2307.3715909090915
67;августа 2018;853.1052908513;9899.69137336913;2292.5936956521737
68;сентября 2018;843.9504423273999;10177.858188123;2378.71475
69;октября 2018;978.1806609473002;10175.81125255739;2388.8600000000006
70;ноября 2018;872.4580115703;10138.163459872381;2376.115
